session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,negative_slow_deflection,226.028,-2.681731808000394
dec4,dHPC,baseline,positive_slow_deflection,226.584,2.4147044155697803
dec4,dHPC,baseline,negative_slow_deflection,226.96,-2.6527540793347586
dec4,dHPC,baseline,positive_slow_deflection,227.824,2.543185076443747
dec4,dHPC,baseline,negative_slow_deflection,228.208,-2.8284086889019404
dec4,dHPC,baseline,positive_slow_deflection,228.576,1.953568463076252
dec4,dHPC,baseline,positive_slow_deflection,234.524,1.7872689696970518
dec4,dHPC,baseline,negative_slow_deflection,234.696,-2.6574395583461055
dec4,dHPC,baseline,positive_slow_deflection,235.052,1.969566216679129
dec4,dHPC,baseline,negative_slow_deflection,235.208,-1.7553914553857712
dec4,dHPC,baseline,positive_slow_deflection,235.86,2.0721170506422784
dec4,dHPC,baseline,negative_slow_deflection,236.068,-2.565491988501417
dec4,dHPC,baseline,negative_slow_deflection,236.652,-2.0878877651258376
dec4,dHPC,baseline,positive_slow_deflection,236.924,1.8330194564301345
dec4,dHPC,baseline,negative_slow_deflection,237.14,-3.035667933799633
dec4,dHPC,baseline,negative_slow_deflection,238.012,-1.5728788739800716
dec4,dHPC,baseline,positive_slow_deflection,238.156,1.823703462549351
dec4,dHPC,baseline,negative_slow_deflection,238.596,-1.7623978900928672
dec4,dHPC,baseline,positive_slow_deflection,239.624,1.7348432713314295
dec4,dHPC,baseline,negative_slow_deflection,240.132,-2.0229967084977813
dec4,dHPC,baseline,positive_slow_deflection,240.56,3.5634932233606924
dec4,dHPC,baseline,negative_slow_deflection,240.744,-3.7425201737004983
dec4,dHPC,baseline,positive_slow_deflection,240.912,1.6090669606955372
dec4,dHPC,baseline,positive_slow_deflection,241.884,1.8822896307129533
dec4,dHPC,baseline,negative_slow_deflection,242.08,-2.6864186026701886
dec4,dHPC,baseline,negative_slow_deflection,243.316,-1.5019611231949381
dec4,dHPC,baseline,negative_slow_deflection,244.732,-1.6254657289373413
