condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq5,122,50,395.9693908691406,378.2264709472656,398.94085693359375,404.7935791015625,20.714385986328125
amp100_freq5,123,50,346.6180114746094,333.0042419433594,348.4243469238281,354.81536865234375,15.42010498046875
amp100_freq5,124,50,334.0082702636719,324.53582763671875,334.5960998535156,341.7239685058594,10.060272216796875
amp100_freq5,125,50,352.8773498535156,346.6661682128906,352.379150390625,360.5771789550781,5.712982177734375
amp100_freq5,126,50,556.6658325195312,555.6597290039062,557.1627807617188,556.15673828125,1.5030517578125
amp100_freq5,127,50,507.0166015625,500.7903137207031,507.6972351074219,511.18792724609375,6.90692138671875
amp180_freq26,0,50,1517.0706787109375,1481.600341796875,1518.6221923828125,1547.9176025390625,37.0218505859375
amp180_freq26,1,50,1484.791015625,1453.117431640625,1486.3468017578125,1511.8070068359375,33.2293701171875
amp180_freq26,2,50,1481.744384765625,1450.73876953125,1483.7529296875,1506.72216796875,33.01416015625
amp180_freq26,3,50,1534.1041259765625,1493.8582763671875,1539.7674560546875,1557.35302734375,45.9091796875
amp180_freq26,4,50,1634.1058349609375,1576.3975830078125,1645.2232666015625,1658.4542236328125,68.82568359375
amp180_freq26,5,50,1762.24169921875,1679.033203125,1781.15869140625,1788.6845703125,102.12548828125
amp180_freq26,6,50,1798.9185791015625,1693.633056640625,1823.927001953125,1829.1361083984375,130.2939453125
