trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
1013,amp180_freq10,180,10,A_dHPC_32-63,32,184.61622619628906,204.0819091796875,215.3590850830078,19.465682983398438,30.74285888671875,-11.277175903320312
1013,amp180_freq10,180,10,A_dHPC_64-95,32,130.84226989746094,162.1404266357422,180.7998046875,31.29815673828125,49.95753479003906,-18.659378051757812
1013,amp180_freq10,180,10,A_dHPC_96-127,31,112.00064849853516,136.28945922851562,142.89031982421875,24.28881072998047,30.889671325683594,-6.600860595703125
1013,amp180_freq10,180,10,B_LEC_128-191,51,84.83358764648438,80.5040283203125,72.6258544921875,-4.329559326171875,-12.207733154296875,7.878173828125
1013,amp180_freq10,180,10,B_LEC_192-255,32,40.14523696899414,38.33985137939453,39.51117706298828,-1.8053855895996094,-0.6340599060058594,-1.17132568359375
1014,amp250_freq5,250,5,A_dHPC_0-31,32,247.35345458984375,226.81362915039062,250.91152954101562,-20.539825439453125,3.558074951171875,-24.097900390625
1014,amp250_freq5,250,5,A_dHPC_32-63,32,197.43276977539062,223.5254669189453,236.7740478515625,26.092697143554688,39.341278076171875,-13.248580932617188
1014,amp250_freq5,250,5,A_dHPC_64-95,32,170.08314514160156,165.11317443847656,208.5811004638672,-4.969970703125,38.497955322265625,-43.467926025390625
1014,amp250_freq5,250,5,A_dHPC_96-127,31,114.75775146484375,128.08038330078125,132.33326721191406,13.3226318359375,17.575515747070312,-4.2528839111328125
1014,amp250_freq5,250,5,B_LEC_128-191,51,74.52278137207031,72.67851257324219,81.72044372558594,-1.844268798828125,7.197662353515625,-9.04193115234375
1014,amp250_freq5,250,5,B_LEC_192-255,32,41.087799072265625,39.93487548828125,36.63911056518555,-1.152923583984375,-4.448688507080078,3.295764923095703
1015,amp250_freq10,250,10,A_dHPC_0-31,32,200.7875518798828,238.06741333007812,185.339111328125,37.27986145019531,-15.448440551757812,52.728302001953125
1015,amp250_freq10,250,10,A_dHPC_32-63,32,225.7332305908203,231.00112915039062,198.2804718017578,5.2678985595703125,-27.4527587890625,32.72065734863281
1015,amp250_freq10,250,10,A_dHPC_64-95,32,179.78509521484375,190.66616821289062,153.2119140625,10.881072998046875,-26.57318115234375,37.454254150390625
1015,amp250_freq10,250,10,A_dHPC_96-127,31,112.03463745117188,128.28915405273438,123.70460510253906,16.2545166015625,11.669967651367188,4.5845489501953125
1015,amp250_freq10,250,10,B_LEC_128-191,51,69.10382843017578,80.45812225341797,81.6452865600586,11.354293823242188,12.541458129882812,-1.187164306640625
1015,amp250_freq10,250,10,B_LEC_192-255,32,32.162200927734375,35.23958969116211,42.1628303527832,3.0773887634277344,10.000629425048828,-6.923240661621094
1016,amp180_freq10,180,10,A_dHPC_0-31,32,136.97047424316406,182.7867431640625,214.43885803222656,45.81626892089844,77.4683837890625,-31.652114868164062
1016,amp180_freq10,180,10,A_dHPC_32-63,32,129.98065185546875,152.74327087402344,213.65582275390625,22.762619018554688,83.6751708984375,-60.91255187988281
1016,amp180_freq10,180,10,A_dHPC_64-95,32,117.39289855957031,136.88302612304688,179.38626098632812,19.490127563476562,61.99336242675781,-42.50323486328125
1016,amp180_freq10,180,10,A_dHPC_96-127,31,106.46420288085938,93.98081970214844,136.7660369873047,-12.483383178710938,30.301834106445312,-42.78521728515625
