trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
941,amp180_freq26,180,26,Group 96-127,32,-33.861976623535156,-71.98345947265625,-0.10804713306594717
941,amp180_freq26,180,26,Group 64-95,30,-43.81376647949219,-108.9239730834961,1.1564052658122603
941,amp180_freq26,180,26,Group 32-63,28,-43.23675537109375,-125.2975845336914,0.11213251102956884
941,amp180_freq26,180,26,Group 0-31,29,-9.111373901367188,-71.4110107421875,3.099265702394314
942,amp250_freq26,250,26,Group 96-127,32,12.963905334472656,24.77436065673828,0.45455740147325074
942,amp250_freq26,250,26,Group 64-95,30,36.754913330078125,72.54849243164062,0.8885228839441119
942,amp250_freq26,250,26,Group 32-63,28,7.3078460693359375,33.1204833984375,2.7639526547675124
942,amp250_freq26,250,26,Group 0-31,29,42.40629577636719,190.2180633544922,1.9313773142712094
943,amp180_freq26,180,26,Group 96-127,32,28.250457763671875,40.48212432861328,-1.4905101327410568
943,amp180_freq26,180,26,Group 64-95,30,42.823822021484375,70.22554016113281,1.0815399715752685
943,amp180_freq26,180,26,Group 32-63,28,57.08161926269531,27.91888427734375,1.4334714978856504
943,amp180_freq26,180,26,Group 0-31,29,70.17831420898438,98.82853698730469,0.2763389497541239
944,amp250_freq26,250,26,Group 96-127,32,-11.426132202148438,-29.866683959960938,-0.49115552927899725
944,amp250_freq26,250,26,Group 64-95,30,-69.44992065429688,-74.60836029052734,-0.12915227314506633
944,amp250_freq26,250,26,Group 32-63,28,-75.0550765991211,-76.58346557617188,1.5255191733504383
944,amp250_freq26,250,26,Group 0-31,29,-30.969451904296875,-52.289306640625,-0.9936432985502364
945,amp180_freq5,180,5,Group 96-127,32,13.79888916015625,-35.11857604980469,1.2703509833264939
945,amp180_freq5,180,5,Group 64-95,30,-16.98321533203125,-51.898193359375,-1.286381145998223
945,amp180_freq5,180,5,Group 32-63,28,-58.55400085449219,-94.32940673828125,0.060115959790013676
945,amp180_freq5,180,5,Group 0-31,29,-32.917144775390625,-71.54777526855469,-0.24854174455971367
946,amp250_freq26,250,26,Group 96-127,32,6.837135314941406,39.61127471923828,0.6807781946384519
946,amp250_freq26,250,26,Group 64-95,30,3.676849365234375,90.46003723144531,1.192265581475933
946,amp250_freq26,250,26,Group 32-63,28,-6.647422790527344,82.2149887084961,0.11490937029875828
946,amp250_freq26,250,26,Group 0-31,29,-10.797195434570312,39.00944519042969,-1.2758558409344007
947,amp100_freq5,100,5,Group 96-127,32,-21.13184356689453,-17.907272338867188,-0.875257224555131
947,amp100_freq5,100,5,Group 64-95,30,-29.09796142578125,41.39454650878906,1.1346424712674468
947,amp100_freq5,100,5,Group 32-63,28,-15.87310791015625,-78.18751525878906,-0.830648824182379
947,amp100_freq5,100,5,Group 0-31,29,-50.55381774902344,-17.3349609375,-0.692999971984914
948,amp100_freq26,100,26,Group 96-127,32,-47.32041931152344,-38.66613006591797,0.17551624312507408
948,amp100_freq26,100,26,Group 64-95,30,-32.289398193359375,-49.750091552734375,-1.514177077450106
948,amp100_freq26,100,26,Group 32-63,28,-59.99391174316406,-68.46775817871094,0.29401357690792906
948,amp100_freq26,100,26,Group 0-31,29,-82.94183349609375,-93.91487121582031,-1.9564725824265727
949,amp250_freq26,250,26,Group 96-127,32,18.55225372314453,51.25414276123047,0.13692767675362652
949,amp250_freq26,250,26,Group 64-95,30,6.17694091796875,12.460159301757812,0.8614791356566495
949,amp250_freq26,250,26,Group 32-63,28,8.968185424804688,24.459793090820312,-0.9780926643166082
949,amp250_freq26,250,26,Group 0-31,29,43.43695068359375,40.685150146484375,1.4258817737545675
950,amp100_freq26,100,26,Group 96-127,32,-5.550895690917969,-20.155548095703125,-0.8847974161174533
950,amp100_freq26,100,26,Group 64-95,30,2.0672149658203125,-36.40996551513672,-0.80750906030018
950,amp100_freq26,100,26,Group 32-63,28,-2.0057525634765625,-4.1373138427734375,0.030325395900638295
950,amp100_freq26,100,26,Group 0-31,29,14.2490234375,-33.863197326660156,0.9472952912725454
951,amp250_freq26,250,26,Group 96-127,32,4.878623962402344,-12.424613952636719,2.440904873723498
951,amp250_freq26,250,26,Group 64-95,30,0.0629730224609375,-36.815040588378906,-1.1944055288489768
951,amp250_freq26,250,26,Group 32-63,28,-3.236419677734375,5.952667236328125,-0.5969120893644818
951,amp250_freq26,250,26,Group 0-31,29,7.1962127685546875,10.0771484375,-0.38241016201037037
952,amp100_freq26,100,26,Group 96-127,32,11.019699096679688,28.469802856445312,0.2824169217958038
952,amp100_freq26,100,26,Group 64-95,30,-26.841232299804688,-14.76300048828125,1.7244059680521646
952,amp100_freq26,100,26,Group 32-63,28,21.187957763671875,78.97541809082031,1.3895217834028197
952,amp100_freq26,100,26,Group 0-31,29,-6.6545562744140625,68.95765686035156,0.007991104976723395
953,amp250_freq5,250,5,Group 96-127,32,-56.10973358154297,-57.822547912597656,-2.619800681123946
953,amp250_freq5,250,5,Group 64-95,30,-84.35575866699219,-103.10932922363281,0.2088558273362084
953,amp250_freq5,250,5,Group 32-63,28,-90.1324462890625,-109.95783233642578,-2.790780788629453
953,amp250_freq5,250,5,Group 0-31,29,-128.41989135742188,-204.7808609008789,-3.8768295461712206
954,amp100_freq26,100,26,Group 96-127,32,3.696319580078125,29.604820251464844,-0.8955452559320951
954,amp100_freq26,100,26,Group 64-95,30,55.85871124267578,50.993736267089844,0.6631456167916204
954,amp100_freq26,100,26,Group 32-63,28,30.137542724609375,111.59661865234375,1.4677301961036027
954,amp100_freq26,100,26,Group 0-31,29,50.771636962890625,80.96669006347656,0.9054129689675209
955,amp250_freq26,250,26,Group 96-127,32,23.800697326660156,3.8940277099609375,1.9808069340874648
955,amp250_freq26,250,26,Group 64-95,30,35.76856994628906,137.8077392578125,1.559607252599435
955,amp250_freq26,250,26,Group 32-63,28,48.06757354736328,53.06713104248047,0.4590348893167359
955,amp250_freq26,250,26,Group 0-31,29,38.64625549316406,64.66807556152344,0.25406447539478816
956,amp250_freq5,250,5,Group 96-127,32,-3.5501861572265625,3.1312255859375,-0.2073492027140553
956,amp250_freq5,250,5,Group 64-95,30,49.58984375,92.65658569335938,-1.2779632774000262
956,amp250_freq5,250,5,Group 32-63,28,30.67279052734375,51.5074462890625,0.32587080623895026
956,amp250_freq5,250,5,Group 0-31,29,51.41667175292969,35.01921081542969,-0.15642527952892826
957,amp100_freq26,100,26,Group 96-127,32,2.1105804443359375,3.0508956909179688,-1.3477226390262593
957,amp100_freq26,100,26,Group 64-95,30,-2.4580841064453125,-51.13494110107422,0.6141663246249207
957,amp100_freq26,100,26,Group 32-63,28,-3.4220962524414062,15.041580200195312,0.4792752028092643
957,amp100_freq26,100,26,Group 0-31,29,28.806564331054688,-53.41625213623047,0.6599805390989861
958,amp250_freq5,250,5,Group 96-127,32,1.3057403564453125,-2.8173980712890625,-0.7486192859753253
958,amp250_freq5,250,5,Group 64-95,30,-37.13572692871094,-89.3310775756836,0.47529584145369463
958,amp250_freq5,250,5,Group 32-63,28,-22.513931274414062,-33.935089111328125,0.658719714381081
958,amp250_freq5,250,5,Group 0-31,29,-54.81195068359375,-70.70155334472656,0.5743689884125025
959,amp180_freq5,180,5,Group 96-127,32,10.000640869140625,-24.95995330810547,-1.4075311729851714
959,amp180_freq5,180,5,Group 64-95,30,8.446304321289062,-9.229850769042969,0.6471654397575863
959,amp180_freq5,180,5,Group 32-63,28,-30.83636474609375,-37.261993408203125,-1.7979231730964835
959,amp180_freq5,180,5,Group 0-31,29,-58.64268493652344,-91.31660461425781,2.432594981590873
960,amp250_freq26,250,26,Group 96-127,32,9.773696899414062,105.39969635009766,0.14811029250233568
960,amp250_freq26,250,26,Group 64-95,30,39.894287109375,17.063186645507812,1.0621925814878652
960,amp250_freq26,250,26,Group 32-63,28,59.121131896972656,61.70439910888672,0.9820647911368614
960,amp250_freq26,250,26,Group 0-31,29,47.963470458984375,165.0121612548828,-2.5706359351180352
961,amp250_freq5,250,5,Group 96-127,32,9.03424072265625,6.917274475097656,2.3339526505165304
961,amp250_freq5,250,5,Group 64-95,30,40.150489807128906,15.809135437011719,0.1425155082778815
961,amp250_freq5,250,5,Group 32-63,28,36.83674621582031,-40.90007019042969,2.64776356240317
961,amp250_freq5,250,5,Group 0-31,29,44.483245849609375,37.929351806640625,3.5020717096775624
962,amp250_freq5,250,5,Group 96-127,32,-4.811851501464844,52.917015075683594,-0.331136366647645
962,amp250_freq5,250,5,Group 64-95,30,-31.807357788085938,43.22088623046875,-0.5957492984849518
962,amp250_freq5,250,5,Group 32-63,28,3.4365997314453125,88.07243347167969,1.2435077235553698
