trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1942,amp250_freq10,250,10,14432.780025,56.55499876447383
1943,amp100_freq10,100,10,14438.780025,50.22194826683202
1944,amp100_freq5,100,5,14444.780025,52.94944848516836
1945,amp100_freq5,100,5,14450.780025,54.27553307095469
1946,amp180_freq10,180,10,14456.780025,48.86019110710406
1947,amp100_freq26,100,26,14462.780025,63.08693530443909
1948,amp250_freq26,250,26,14468.780025,51.16783905415949
1949,amp180_freq26,180,26,14474.780025,52.519973598236035
1950,amp100_freq50,100,50,14480.780025,50.73444214352991
1951,amp250_freq50,250,50,14486.780025,53.86982302139102
1952,amp250_freq5,250,5,14492.780025,47.50946768065824
1953,amp100_freq10,100,10,14498.780025,50.982327039427005
1954,amp100_freq50,100,50,14504.780025,51.429796686815
1955,amp250_freq50,250,50,14510.780025,79.35623596586721
1956,amp250_freq5,250,5,14516.780025,54.28371696231425
1957,amp180_freq26,180,26,14522.780025,49.723158890346795
1958,amp250_freq26,250,26,14528.780025,46.13393924864644
1959,amp180_freq5,180,5,14534.780025,49.64923222269808
1960,amp250_freq50,250,50,14540.780025,52.38978762176318
1961,amp180_freq10,180,10,14546.780025,52.542287244626856
1962,amp180_freq10,180,10,14552.780025,51.11642113637349
1963,amp100_freq5,100,5,14558.780025,45.5427429037435
1964,amp100_freq5,100,5,14564.780025,50.08333478416716
1965,amp250_freq26,250,26,14570.780025,54.82728789969856
1966,amp100_freq50,100,50,14576.780025,50.22067561176563
1967,amp250_freq10,250,10,14582.780025,55.02387248698959
1968,amp250_freq5,250,5,14588.780025,88.13659914547398
1969,amp180_freq10,180,10,14594.780025,50.19089389084717
1970,amp250_freq5,250,5,14600.780025,56.89852482694058
1971,amp180_freq50,180,50,14606.780025,53.046759256569835
1972,amp180_freq50,180,50,14612.780025,56.792252638253615
1973,amp180_freq10,180,10,14618.780025,52.67342153966104
1974,amp250_freq10,250,10,14624.780025,56.87244936928285
1975,amp100_freq26,100,26,14630.780025,53.047447996231604
1976,amp250_freq10,250,10,14636.780025,55.87184930518196
1977,amp100_freq5,100,5,14642.780025,56.74496873721566
1978,amp180_freq26,180,26,14648.780025,52.14054254364582
1979,amp100_freq10,100,10,14654.780025,51.451060533256054
1980,amp180_freq26,180,26,14660.780025,52.41427803307562
