trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
244,amp250_freq10,250,10,4244.780025,4247.780025,4244.780025,4247.780025,4247.780025,4250.780025
245,amp180_freq26,180,26,4250.780025,4253.780025,4250.780025,4253.780025,4253.780025,4256.780025
246,amp250_freq26,250,26,4256.780025,4259.780025,4256.780025,4259.780025,4259.780025,4262.780025
247,amp100_freq5,100,5,4262.780025,4265.780025,4262.780025,4265.780025,4265.780025,4268.780025
248,amp180_freq26,180,26,4268.780025,4271.780025,4268.780025,4271.780025,4271.780025,4274.780025
249,amp180_freq26,180,26,4274.780025,4277.780025,4274.780025,4277.780025,4277.780025,4280.780025
250,amp250_freq50,250,50,4280.780025,4283.780025,4280.780025,4283.780025,4283.780025,4286.780025
251,amp250_freq50,250,50,4286.780025,4289.780025,4286.780025,4289.780025,4289.780025,4292.780025
252,amp250_freq10,250,10,4292.780025,4295.780025,4292.780025,4295.780025,4295.780025,4298.780025
253,amp180_freq26,180,26,4298.780025,4301.780025,4298.780025,4301.780025,4301.780025,4304.780025
254,amp180_freq50,180,50,4304.780025,4307.780025,4304.780025,4307.780025,4307.780025,4310.780025
255,amp250_freq5,250,5,4310.780025,4313.780025,4310.780025,4313.780025,4313.780025,4316.780025
256,amp180_freq5,180,5,4316.780025,4319.780025,4316.780025,4319.780025,4319.780025,4322.780025
257,amp100_freq26,100,26,4322.780025,4325.780025,4322.780025,4325.780025,4325.780025,4328.780025
258,amp250_freq5,250,5,4328.780025,4331.780025,4328.780025,4331.780025,4331.780025,4334.780025
259,amp250_freq10,250,10,4334.780025,4337.780025,4334.780025,4337.780025,4337.780025,4340.780025
260,amp180_freq50,180,50,4340.780025,4343.780025,4340.780025,4343.780025,4343.780025,4346.780025
261,amp100_freq10,100,10,4346.780025,4349.780025,4346.780025,4349.780025,4349.780025,4352.780025
262,amp180_freq50,180,50,4352.780025,4355.780025,4352.780025,4355.780025,4355.780025,4358.780025
263,amp180_freq10,180,10,4358.780025,4361.780025,4358.780025,4361.780025,4361.780025,4364.780025
264,amp250_freq5,250,5,4364.780025,4367.780025,4364.780025,4367.780025,4367.780025,4370.780025
265,amp100_freq50,100,50,4370.780025,4373.780025,4370.780025,4373.780025,4373.780025,4376.780025
266,amp180_freq10,180,10,4376.780025,4379.780025,4376.780025,4379.780025,4379.780025,4382.780025
267,amp100_freq10,100,10,4382.780025,4385.780025,4382.780025,4385.780025,4385.780025,4388.780025
268,amp250_freq10,250,10,4388.780025,4391.780025,4388.780025,4391.780025,4391.780025,4394.780025
269,amp250_freq10,250,10,4394.780025,4397.780025,4394.780025,4397.780025,4397.780025,4400.780025
270,amp100_freq10,100,10,4400.780025,4403.780025,4400.780025,4403.780025,4403.780025,4406.780025
271,amp250_freq50,250,50,4406.780025,4409.780025,4406.780025,4409.780025,4409.780025,4412.780025
272,amp100_freq10,100,10,4412.780025,4415.780025,4412.780025,4415.780025,4415.780025,4418.780025
273,amp180_freq50,180,50,4418.780025,4421.780025,4418.780025,4421.780025,4421.780025,4424.780025
