channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
118,733.4059,480.0,4540.0,4793.0,0.000825,0.0,49.0,-0.4867233670392731,-0.42406623511383534,-0.6079291209810188,-0.67448975,-0.5358946115711564,,False
119,731.7769,479.0,5640.5,5640.0,0.00085,0.0,53.0,-0.48914028037621177,-0.4264287211033275,-0.3203924291836142,0.67448975,-0.368433723911769,,False
120,715.94495,458.5,8960.0,6176.0,0.001025,0.0,53.5,-0.5126303162479894,-0.47485968388791594,0.546920654343405,0.8431121875,-0.2624608363256632,,False
121,611.13184,395.0,5353.0,5777.0,0.001225,0.0,54.0,-0.6681424659412978,-0.6248775442206655,-0.395509920225644,1.0117346249999999,-0.3413473701817383,,False
122,515.6976,332.0,5528.0,5027.0,0.001325,0.0,55.0,-0.8097391390677056,-0.773714161558669,-0.34978623002614756,1.3489795,-0.4896303285578192,,False
123,452.85437,286.0,3997.5,3315.0,0.001275,0.0,52.0,-0.9029801582411048,-0.8823885170753065,-0.7496725605994576,0.337244875,-0.8281108948776199,,False
124,430.51526,274.5,3802.0,2896.0,0.0015,0.0,53.0,-0.9361248976083691,-0.9095571059544658,-0.800752454508038,0.67448975,-0.910951640957057,,False
125,463.47375,294.5,3481.5,3032.0,0.00115,0.0,50.0,-0.8872240820423977,-0.8623073861646234,-0.8844921271305443,-0.337244875,-0.8840629978381943,,False
126,744.055,445.5,4731.5,4381.0,0.001075,0.0,44.0,-0.47092318889612855,-0.5055720017513136,-0.5578943399912841,-2.360714125,-0.6173513833724168,,False
127,680.4312,399.5,4522.0,4200.0,0.00115,0.0,51.0,-0.5653223595426483,-0.614246357267951,-0.6126321291158241,0.0,-0.6531370039938443,,False
