channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected,exclude_auto,fiftyhz_on_minus_off,bad,shank_group,region
177,LEC,B_LEC_128-191,5,1560.0,980.0,False,True,False,9.923764211114388,False,5,LEC
178,LEC,B_LEC_128-191,5,1560.0,1000.0,False,True,False,9.916978809439584,False,5,LEC
179,LEC,B_LEC_128-191,5,1560.0,1020.0,False,True,False,9.902562587641611,False,5,LEC
180,LEC,B_LEC_128-191,5,1560.0,1040.0,False,True,False,10.129149103807833,False,5,LEC
181,LEC,B_LEC_128-191,5,1560.0,1060.0,False,True,False,10.330918741480147,False,5,LEC
182,LEC,B_LEC_128-191,5,1560.0,1080.0,False,True,False,10.303653576840517,False,5,LEC
183,LEC,B_LEC_128-191,5,1560.0,1100.0,False,True,False,10.703323188465177,False,5,LEC
184,LEC,B_LEC_128-191,5,1560.0,1120.0,False,True,False,10.816541893134968,False,5,LEC
185,LEC,B_LEC_128-191,5,1560.0,1140.0,False,True,False,10.961652084837809,False,5,LEC
186,LEC,B_LEC_128-191,5,1560.0,1160.0,False,True,False,2.2760825694965874,False,5,LEC
187,LEC,B_LEC_128-191,5,1560.0,1180.0,False,True,False,0.263232202125673,False,5,LEC
188,LEC,B_LEC_128-191,5,1560.0,1200.0,False,True,False,-0.01816092991270679,False,5,LEC
189,LEC,B_LEC_128-191,5,1560.0,1220.0,False,True,False,0.02402875022704798,False,5,LEC
190,LEC,B_LEC_128-191,5,1560.0,1240.0,False,True,False,0.534330554549534,False,5,LEC
191,LEC,B_LEC_128-191,5,1560.0,1260.0,False,True,False,3.599244201669233,False,5,LEC
192,LEC,B_LEC_192-255,6,1620.0,0.0,False,True,False,18.48491380145944,False,6,LEC
193,LEC,B_LEC_192-255,6,1620.0,20.0,False,True,False,4.22914040802786,False,6,LEC
194,LEC,B_LEC_192-255,6,1620.0,40.0,False,True,False,0.25959876385508096,False,6,LEC
195,LEC,B_LEC_192-255,6,1620.0,60.0,False,True,False,4.02528086698732,False,6,LEC
196,LEC,B_LEC_192-255,6,1620.0,80.0,False,True,False,16.221833775070536,False,6,LEC
197,LEC,B_LEC_192-255,6,1620.0,100.0,False,True,False,0.6361113767958191,False,6,LEC
198,LEC,B_LEC_192-255,6,1620.0,120.0,False,True,False,0.13701525424193584,False,6,LEC
199,LEC,B_LEC_192-255,6,1620.0,140.0,False,True,False,-0.028003781218641777,False,6,LEC
200,LEC,B_LEC_192-255,6,1620.0,160.0,False,True,False,0.03516916854594854,False,6,LEC
201,LEC,B_LEC_192-255,6,1620.0,180.0,False,True,False,-0.017171476106183192,False,6,LEC
202,LEC,B_LEC_192-255,6,1620.0,200.0,False,True,False,0.04118023999496856,False,6,LEC
203,LEC,B_LEC_192-255,6,1620.0,220.0,False,True,False,0.19852151451231848,False,6,LEC
204,LEC,B_LEC_192-255,6,1620.0,240.0,False,True,False,0.06942641382718406,False,6,LEC
205,LEC,B_LEC_192-255,6,1620.0,260.0,False,True,False,0.1309080908437057,False,6,LEC
206,LEC,B_LEC_192-255,6,1620.0,280.0,False,True,False,0.36070318730801354,False,6,LEC
207,LEC,B_LEC_192-255,6,1620.0,300.0,False,True,False,5.12968054801987,False,6,LEC
208,LEC,B_LEC_192-255,6,1620.0,320.0,False,True,False,14.92045738088612,False,6,LEC
209,LEC,B_LEC_192-255,6,1620.0,340.0,False,True,False,1.08663967562374,False,6,LEC
210,LEC,B_LEC_192-255,6,1620.0,360.0,False,True,False,1.171720075888171,False,6,LEC
211,LEC,B_LEC_192-255,6,1620.0,380.0,False,True,False,16.84530012225858,False,6,LEC
212,LEC,B_LEC_192-255,6,1620.0,400.0,False,True,False,17.166672224832155,False,6,LEC
213,LEC,B_LEC_192-255,6,1620.0,420.0,False,True,False,17.845155385214454,False,6,LEC
214,LEC,B_LEC_192-255,6,1620.0,440.0,False,True,False,17.952125278156217,False,6,LEC
215,LEC,B_LEC_192-255,6,1620.0,460.0,False,True,False,18.366194303311318,False,6,LEC
216,LEC,B_LEC_192-255,6,1620.0,480.0,False,True,False,10.588097035648929,False,6,LEC
217,LEC,B_LEC_192-255,6,1620.0,500.0,False,True,False,18.599783511436527,False,6,LEC
218,LEC,B_LEC_192-255,6,1620.0,520.0,False,True,False,18.908362535660444,False,6,LEC
219,LEC,B_LEC_192-255,6,1620.0,540.0,False,True,False,18.814672099962877,False,6,LEC
220,LEC,B_LEC_192-255,6,1620.0,560.0,False,True,False,1.487572570170233,False,6,LEC
221,LEC,B_LEC_192-255,6,1620.0,580.0,False,True,False,0.34484199651072345,False,6,LEC
222,LEC,B_LEC_192-255,6,1620.0,600.0,False,True,False,1.768132933457732,False,6,LEC
223,LEC,B_LEC_192-255,6,1620.0,620.0,False,True,False,18.644012891912453,False,6,LEC
224,LEC,B_LEC_192-255,6,1620.0,640.0,True,False,True,10.055284197921026,True,6,LEC
225,LEC,B_LEC_192-255,6,1620.0,660.0,True,False,True,50.49425539786546,True,6,LEC
226,LEC,B_LEC_192-255,6,1620.0,680.0,True,False,True,50.88591004428952,True,6,LEC
227,LEC,B_LEC_192-255,6,1620.0,700.0,True,False,True,52.339515043892675,True,6,LEC
228,LEC,B_LEC_192-255,6,1620.0,720.0,True,False,True,57.23121715583886,True,6,LEC
229,LEC,B_LEC_192-255,6,1620.0,740.0,True,False,True,56.00554887265969,True,6,LEC
230,LEC,B_LEC_192-255,6,1620.0,760.0,True,False,True,62.10421714128029,True,6,LEC
231,LEC,B_LEC_192-255,6,1620.0,780.0,True,False,True,-2.9807702508731495,True,6,LEC
232,LEC,B_LEC_192-255,6,1620.0,800.0,True,False,True,-5.027184119607341,True,6,LEC
233,LEC,B_LEC_192-255,6,1620.0,820.0,True,False,True,-0.6058552662782972,True,6,LEC
234,LEC,B_LEC_192-255,6,1620.0,840.0,True,False,True,3.1166074030088566,True,6,LEC
235,LEC,B_LEC_192-255,6,1620.0,860.0,True,False,True,-0.7642550957945673,True,6,LEC
236,LEC,B_LEC_192-255,6,1620.0,880.0,True,False,True,2.6834877672887956,True,6,LEC
237,LEC,B_LEC_192-255,6,1620.0,900.0,True,False,True,3.0325595068145503,True,6,LEC
238,LEC,B_LEC_192-255,6,1620.0,920.0,True,False,True,8.435105999657935,True,6,LEC
239,LEC,B_LEC_192-255,6,1620.0,940.0,True,False,True,52.233723346430565,True,6,LEC
240,LEC,B_LEC_192-255,6,1620.0,960.0,True,False,True,75.93203833114978,True,6,LEC
241,LEC,B_LEC_192-255,6,1620.0,980.0,True,False,True,14.607084981793832,True,6,LEC
242,LEC,B_LEC_192-255,6,1620.0,1000.0,True,False,True,16.24347158174038,True,6,LEC
243,LEC,B_LEC_192-255,6,1620.0,1020.0,True,False,True,75.49013037110285,True,6,LEC
244,LEC,B_LEC_192-255,6,1620.0,1040.0,True,False,True,79.65431841033353,True,6,LEC
245,LEC,B_LEC_192-255,6,1620.0,1060.0,True,False,True,75.54362331723337,True,6,LEC
246,LEC,B_LEC_192-255,6,1620.0,1080.0,True,False,True,75.80163363693794,True,6,LEC
247,LEC,B_LEC_192-255,6,1620.0,1100.0,True,False,True,75.96775254419583,True,6,LEC
248,LEC,B_LEC_192-255,6,1620.0,1120.0,True,False,True,70.96322674956537,True,6,LEC
249,LEC,B_LEC_192-255,6,1620.0,1140.0,True,False,True,75.56259530255409,True,6,LEC
250,LEC,B_LEC_192-255,6,1620.0,1160.0,True,False,True,77.39839565785292,True,6,LEC
251,LEC,B_LEC_192-255,6,1620.0,1180.0,True,False,True,74.0127387174822,True,6,LEC
252,LEC,B_LEC_192-255,6,1620.0,1200.0,True,False,True,4.345931547286909,True,6,LEC
253,LEC,B_LEC_192-255,6,1620.0,1220.0,True,False,True,-3.458999774314293,True,6,LEC
254,LEC,B_LEC_192-255,6,1620.0,1240.0,True,False,True,4.211646826838319,True,6,LEC
255,LEC,B_LEC_192-255,6,1620.0,1260.0,True,False,True,22.64543577315635,True,6,LEC
