trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
91,amp180_freq26,25,65.0500000001557,2355.3000000001703,2290.2500000000146,True
92,amp100_freq26,5,317.95000000010987,2161.999999999807,1844.0499999996973,True
93,amp180_freq26,15,162.10000000000946,2318.200000000161,2156.1000000001513,True
94,amp250_freq5,3,831.0499999997774,2035.4499999998552,1204.4000000000779,True
95,amp100_freq5,3,247.69999999989523,1845.2499999998508,1597.5499999999556,True
96,amp100_freq26,5,572.3499999999149,2416.400000000067,1844.050000000152,True
97,amp250_freq5,4,432.09999999999127,1761.3000000001193,1329.200000000128,True
98,amp250_freq5,4,432.24999999983993,2432.299999999941,2000.0500000001011,True
99,amp100_freq5,4,1171.8999999998232,1973.8000000002103,801.9000000003871,True
100,amp250_freq5,2,1159.599999999955,1961.4999999998872,801.8999999999323,True
101,amp180_freq26,13,211.2000000001899,2364.1499999998814,2152.9499999996915,True
102,amp100_freq5,1,295.59999999992215,295.59999999992215,0.0,True
103,amp100_freq26,39,211.49999999988722,2774.249999999938,2562.750000000051,True
104,amp100_freq26,10,41.09999999991487,2471.7500000001564,2430.6500000002416,True
105,amp100_freq26,12,13.19999999986976,2471.900000000005,2458.7000000001353,True
106,amp180_freq26,19,13.350000000173168,2409.650000000056,2396.299999999883,True
107,amp250_freq5,11,239.19999999998254,2438.9500000002045,2199.750000000222,True
108,amp180_freq5,4,468.1500000001506,2468.199999999797,2000.0499999996464,True
109,amp250_freq5,6,1039.299999999912,2044.0499999999702,1004.7500000000582,True
110,amp100_freq26,7,421.6999999998734,2421.7499999999745,2000.0500000001011,True
111,amp250_freq5,9,169.1000000000713,1964.2499999999927,1795.1499999999214,True
112,amp250_freq5,4,167.19999999986612,1764.7499999998217,1597.5499999999556,True
113,amp100_freq5,4,139.25000000017462,1980.199999999968,1840.9499999997934,True
