trial_number,condition,emg_on,emg_off,off_ttl_toggles,moving
141,amp250_freq26,0.3502258287233773,0.2968274835111864,4,False
142,amp250_freq26,0.37763541809746887,0.5095969626788348,2,False
143,amp180_freq26,0.6809459190482622,0.7398932472215133,11,True
144,amp250_freq26,0.642991452617797,0.34667773342053243,1,False
145,amp180_freq5,0.39505989994742996,0.5284465656316785,0,False
146,amp180_freq5,0.5101196239306451,0.5098256722434991,0,False
147,amp250_freq5,0.48430408934738217,0.4938971887441528,1,False
148,amp100_freq5,0.3774715850958863,0.3878999875693736,3,False
149,amp180_freq26,0.5129100460669345,0.3707186205992307,3,False
150,amp180_freq5,0.4624229834200871,0.8874734635888376,1,True
151,amp180_freq26,0.6764381739575017,0.5311896803198063,8,False
152,amp250_freq26,0.47627179133906505,0.4485349307009258,2,False
153,amp180_freq26,0.5570316579099732,0.5457040217759118,3,False
154,amp180_freq5,0.4841718853051524,0.4387035520092281,0,False
155,amp100_freq26,0.3187529329325738,0.26125094650492825,1,False
156,amp250_freq5,0.3092999367709744,0.38599585877206616,0,False
157,amp100_freq5,0.5588050220115907,0.4380932260560016,0,False
158,amp100_freq5,0.33986792247609543,0.2927580880635343,1,False
159,amp100_freq26,0.351348651940767,0.3544012119441893,4,False
160,amp180_freq26,0.3659540464415099,0.2750852947128885,1,False
161,amp180_freq26,0.32575906481195666,0.30612837237535884,1,False
162,amp100_freq5,0.3131205811372643,0.39473944868736316,3,False
163,amp250_freq26,0.44516261242119914,0.2760041009946723,0,False
164,amp250_freq5,0.38760722921725144,0.3209077374880662,3,False
165,amp250_freq5,0.31639012655631116,0.3473447983898817,1,False
166,amp100_freq26,0.5017257420181539,0.6277574603868809,2,False
167,amp180_freq26,0.4141082944009625,0.38677793212702505,2,False
168,amp180_freq5,0.44994223418275753,0.40471972503198583,5,False
169,amp250_freq26,0.4299279101727913,0.32940674144868565,2,False
170,amp100_freq26,0.35896396139996667,0.29279576107187405,8,False
171,amp250_freq26,0.35517714851092014,0.2969595922861589,1,False
172,amp100_freq5,0.3323379571705776,0.27098191159434537,0,False
173,amp180_freq5,0.3385441728114853,0.28583435491191234,0,False
174,amp180_freq5,0.3358839125210063,0.32154684235703784,0,False
175,amp100_freq5,0.33936847632997197,0.2631456356896864,2,False
176,amp180_freq26,0.3029815368155508,0.2818379956713565,2,False
177,amp100_freq5,0.27719462874477013,0.2744346962662391,1,False
178,amp250_freq5,0.30663548062386653,0.3305062705289392,1,False
179,amp100_freq26,0.31625222743751263,0.3014054927649028,3,False
180,amp250_freq26,0.32874350650361345,0.48261305631289836,5,False
181,amp250_freq26,0.7305971945786883,0.6788167218768087,2,False
182,amp100_freq5,0.46609446678694605,0.37731739233614636,0,False
183,amp250_freq5,0.5857370674558202,0.7341365224909456,5,False
184,amp100_freq26,0.7005863028007541,0.5352987507860104,1,False
185,amp250_freq26,0.45968011068904796,0.3887412123703067,5,False
186,amp180_freq26,0.4124453881304863,0.4723913794246297,1,False
187,amp100_freq26,0.4833728171056624,0.33311755150503525,5,False
188,amp180_freq26,0.39879090786023247,0.37852916804873193,1,False
189,amp100_freq5,0.38721305162988506,0.49964493867596776,0,False
190,amp180_freq26,0.5131645823030605,0.32715645271702715,4,False
191,amp250_freq26,0.4196485325322998,0.40031154644767825,1,False
192,amp250_freq5,0.36304547718567215,0.3301714534961439,0,False
193,amp100_freq26,0.31233738733189353,0.4685774199600205,1,False
194,amp100_freq26,0.6400441236767781,0.6719573448906505,9,False
195,amp250_freq26,0.7316721669995526,0.6963319513938763,2,False
196,amp250_freq26,0.3941497210032637,0.32508974273310226,0,False
197,amp250_freq5,0.44776596169818345,0.3454979098921378,0,False
198,amp250_freq5,0.3302123282254709,0.3542176576880149,0,False
199,amp100_freq5,0.2984912501777608,0.30679367309957234,2,False
200,amp100_freq26,0.33619488007047416,0.3115026937210153,0,False
201,amp250_freq5,0.3728694517970927,0.5280094059354157,0,False
202,amp180_freq5,0.6126087717503924,0.6718020984498381,1,False
203,amp180_freq26,0.6523162322164554,0.583432348662292,0,False
204,amp100_freq5,0.7652087712499545,0.6742926855708605,2,False
205,amp180_freq5,0.6472926983289996,0.7154926908679734,0,False
206,amp100_freq26,0.5954946013323643,0.5350531734432944,0,False
207,amp100_freq26,0.4675870894654149,0.6044972194174794,1,False
208,amp180_freq5,0.5574189637529932,0.46588223583232824,2,False
209,amp180_freq26,0.3769513964820863,0.30732727012633654,0,False
210,amp180_freq5,0.323464576620298,0.2746569896719357,0,False
211,amp100_freq5,0.3172856129130145,0.2900611028099209,3,False
