edge,sample
rising,67895846
rising,67913070
rising,67924116
rising,67928110
rising,67999250
rising,68014664
rising,68019345
rising,68023962
rising,68042309
rising,68045492
rising,68110954
rising,68113825
rising,68117007
rising,68126181
rising,68143092
rising,68147773
rising,68153826
rising,68230957
rising,68232954
rising,68235326
rising,68241441
rising,68244562
rising,68246059
rising,68252362
rising,68254546
rising,68255420
rising,68259164
rising,68259975
rising,68260662
rising,68263782
rising,68264032
rising,68269898
rising,68273080
rising,68273704
rising,68276887
rising,68279134
rising,68283252
rising,68287558
rising,68393978
rising,68473606
rising,68481656
rising,68497694
rising,68525651
rising,68612768
rising,68643533
rising,68764161
rising,68836612
rising,68841230
rising,68847345
rising,68863009
rising,68868875
rising,68884289
rising,68888907
rising,68953745
rising,68958175
rising,68962731
rising,68962981
rising,68968847
rising,68985758
rising,68989128
rising,68993496
rising,68994994
rising,69005790
rising,69010408
rising,69074996
rising,69079614
rising,69084232
rising,69088912
rising,69101144
rising,69110379
rising,69110629
rising,69115060
rising,69127291
rising,69201864
rising,69217340
rising,69226576
rising,69232629
rising,69248106
rising,69312195
rising,69312507
rising,69317499
rising,69321056
rising,69322616
rising,69323428
rising,69324863
rising,69325674
rising,69327172
rising,69333600
rising,69335909
rising,69338218
rising,69340527
rising,69342835
rising,69344084
rising,69347204
rising,69350262
rising,69355691
rising,69362056
rising,69365176
rising,69367111
rising,69370231
rising,69430826
rising,69460280
rising,69469516
rising,69554823
rising,69558005
rising,69579473
rising,69588708
rising,69607118
rising,69726934
rising,69830962
rising,69915644
rising,69934116
rising,69958641
rising,70031529
rising,70047754
rising,70052435
rising,70057801
rising,70065539
rising,70067308
rising,70069367
rising,70071676
rising,70073985
rising,70074671
rising,70076980
rising,70077854
rising,70087277
rising,70150888
rising,70159687
rising,70167737
rising,70185647
rising,70193697
rising,70273699
rising,70275259
rising,70276882
rising,70280127
rising,70282935
rising,70285244
rising,70286742
rising,70289862
rising,70290673
rising,70293793
rising,70295291
rising,70299347
rising,70305962
rising,70307522
rising,70309332
rising,70312203
rising,70314449
rising,70316821
rising,70321376
rising,70323186
rising,70328365
rising,70396074
rising,70402190
rising,70411737
rising,70421098
rising,70439071
rising,70512458
rising,70538169
rising,70550088
rising,70639513
rising,70642134
rising,70644193
rising,70649061
rising,70650371
rising,70651869
rising,70654428
rising,70656737
rising,70659046
rising,70661355
rising,70665973
rising,70668281
rising,70673336
rising,70675645
rising,70678828
rising,70682884
rising,70684943
rising,70688064
rising,70752527
rising,70761014
rising,70763635
rising,70768253
rising,70771061
rising,70773370
rising,70774868
rising,70778238
rising,70782856
rising,70784915
rising,70788035
rising,70791842
rising,70795649
rising,70799455
rising,70801827
rising,70807942
rising,70870908
rising,70879208
rising,70887258
rising,70904544
rising,70919271
rising,70928445
rising,70991036
rising,71003455
rising,71007449
rising,71015499
rising,71019493
rising,71043456
rising,71047450
rising,71113120
rising,71118487
rising,71123105
rising,71128534
rising,71131529
rising,71141576
