cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,max_abs_on_off_delta_hz,best_on_off_condition,best_on_off_delta_hz,n_conditions_q05,review_category,review_priority
79,mua,100.2,12.5,mua,False,69672,3.841719512894426,10184,0.14617272609837664,79,79,180.0,300.0,3,4.046835422515869,,,,0,likely_noise_or_multiunit,102
80,mua,253.6,8.5,mua,False,16249,0.8959711270671364,614,0.03778926637124569,81,81,180.0,340.0,3,3.417224407196045,,,,0,likely_noise_or_multiunit,103
81,mua,88.5,9.6,mua,False,45206,2.4926623650807413,443,0.009799800906979317,81,81,180.0,340.0,3,4.0243821144104,,,,0,likely_noise_or_multiunit,104
84,mua,240.0,10.5,mua,False,36943,2.037039900747198,1623,0.04393373396134481,48,48,120.0,320.0,2,3.0423851013183594,,,,0,likely_noise_or_multiunit,105
85,mua,150.5,10.0,mua,False,116843,6.442732131202254,3909,0.03345543554543743,16,16,60.0,320.0,1,4.2161173820495605,,,,0,likely_noise_or_multiunit,106
88,mua,104.2,12.6,mua,False,511850,28.223448913121654,42309,0.08265914361462072,48,48,120.0,320.0,2,5.728195667266846,,,,0,likely_noise_or_multiunit,107
89,mua,230.7,9.4,mua,False,27146,1.4968325567951557,991,0.03650764413335789,51,51,120.0,380.0,2,2.1378304958343506,,,,0,likely_noise_or_multiunit,108
91,mua,313.4,10.4,mua,False,11403,0.6287623091849687,442,0.03876512892475004,81,81,180.0,340.0,3,3.4324162006378174,,,,0,likely_noise_or_multiunit,109
92,mua,177.6,9.9,mua,False,38169,2.1046416363484233,796,0.02085516663173339,19,19,60.0,380.0,1,3.7170350551605225,,,,0,likely_noise_or_multiunit,110
93,mua,220.2,9.9,mua,False,4566,0.25176959604828264,32,0.007009857612267251,115,115,0.0,380.0,4,3.5743203163146973,,,,0,likely_noise_or_multiunit,111
94,mua,140.7,10.2,mua,False,43935,2.422579325970499,921,0.02096326307643283,19,19,60.0,380.0,1,3.0653207302093506,,,,0,likely_noise_or_multiunit,112
95,mua,106.1,11.9,mua,False,66477,3.6655469637542017,10112,0.15211504904025513,114,114,0.0,360.0,4,5.293517112731934,,,,0,likely_noise_or_multiunit,113
96,mua,74.5,11.2,mua,False,95367,5.25854381654327,1017,0.010664178008934001,83,83,180.0,380.0,3,5.22745418548584,,,,0,likely_noise_or_multiunit,114
97,mua,102.3,12.4,mua,False,70455,3.884894193951326,10739,0.1524256961989383,114,114,0.0,360.0,4,5.731087684631348,,,,0,likely_noise_or_multiunit,115
98,mua,110.1,11.5,mua,False,232377,12.813285900331095,11735,0.0505000516404448,51,51,120.0,380.0,2,3.8701510429382324,,,,0,likely_noise_or_multiunit,116
99,mua,199.7,7.1,mua,False,35481,1.9564251067431269,1601,0.04512401352874859,21,21,60.0,420.0,1,1.6336581707000732,,,,0,likely_noise_or_multiunit,117
100,mua,159.4,9.3,mua,False,26510,1.4617634672010453,303,0.011430080350069788,22,22,60.0,440.0,1,2.730302572250366,,,,0,likely_noise_or_multiunit,118
101,mua,111.8,11.1,mua,False,272519,15.026718910530429,15354,0.05634123250574274,52,52,120.0,400.0,2,5.684123516082764,,,,0,likely_noise_or_multiunit,119
102,mua,56.8,9.5,mua,False,239643,13.213933706920411,4625,0.019299621936054615,117,117,0.0,420.0,4,4.940231800079346,,,,0,likely_noise_or_multiunit,120
103,mua,127.0,10.2,mua,False,52601,2.9004232417292415,1127,0.021425855513307984,53,53,120.0,420.0,2,5.293200492858887,,,,0,likely_noise_or_multiunit,121
105,mua,88.6,11.5,mua,False,156567,8.633116588806717,4702,0.030032063155474367,53,53,120.0,420.0,2,4.984730243682861,,,,0,likely_noise_or_multiunit,122
106,mua,117.3,14.6,mua,False,342956,18.91062058307815,26448,0.07711798924057092,84,84,180.0,400.0,3,7.122494697570801,,,,0,likely_noise_or_multiunit,123
107,mua,184.3,7.8,mua,False,25505,1.4063476888329938,1701,0.06669542032622333,87,87,180.0,460.0,3,2.913013219833374,,,,0,likely_noise_or_multiunit,124
110,mua,130.7,10.0,mua,False,31035,1.7112723200522235,446,0.014371334665205904,55,55,120.0,460.0,2,5.679561138153076,,,,0,likely_noise_or_multiunit,125
111,mua,165.2,9.5,mua,False,19594,1.0804146879040846,194,0.009901495432042056,22,22,60.0,440.0,1,3.318286180496216,,,,0,likely_noise_or_multiunit,126
114,mua,109.5,10.4,mua,False,69251,3.8185055400656203,1301,0.018787003610108304,55,55,120.0,460.0,2,5.0723371505737305,,,,0,likely_noise_or_multiunit,127
115,mua,140.9,12.6,mua,False,199902,11.02261186799032,13920,0.06963446906218579,87,87,180.0,460.0,3,7.1839985847473145,,,,0,likely_noise_or_multiunit,128
116,mua,115.4,9.6,mua,False,220295,12.147083478198955,12776,0.05799522456353782,119,119,0.0,460.0,4,4.67142915725708,,,,0,likely_noise_or_multiunit,129
117,mua,55.2,17.7,mua,False,233872,12.895720316908445,6651,0.0284387546981028,86,86,180.0,440.0,3,10.286005973815918,,,,0,likely_noise_or_multiunit,130
118,mua,184.0,9.0,mua,False,39967,2.2037834965531564,1268,0.03172696792273432,23,23,60.0,460.0,1,1.881695032119751,,,,0,likely_noise_or_multiunit,131
119,mua,156.0,10.0,mua,False,17918,0.987999917212687,267,0.014902048333984484,57,57,120.0,500.0,2,4.969974040985107,,,,0,likely_noise_or_multiunit,132
120,mua,53.8,10.0,mua,False,28580,1.5759034286158384,238,0.008327793134819272,89,89,180.0,500.0,3,2.8279995918273926,,,,0,likely_noise_or_multiunit,133
121,mua,145.0,9.4,mua,False,82542,4.551372316473357,3083,0.037351134587659464,27,27,60.0,540.0,1,2.2773303985595703,,,,0,likely_noise_or_multiunit,134
122,mua,267.6,8.9,mua,False,12206,0.6730397918014319,308,0.025235559197050388,56,56,120.0,480.0,2,2.1777591705322266,,,,0,likely_noise_or_multiunit,135
123,mua,74.4,10.2,mua,False,33738,1.8603159508271923,409,0.012123188191006906,89,89,180.0,500.0,3,2.8803157806396484,,,,0,likely_noise_or_multiunit,136
124,mua,123.0,10.3,mua,False,25033,1.3803215720273017,336,0.013422818791946308,57,57,120.0,500.0,2,4.682104110717773,,,,0,likely_noise_or_multiunit,137
128,mua,65.4,18.7,mua,False,42968,2.3692588705656172,186,0.00432890357716387,121,122,0.0,520.0,4,12.939452171325684,,,,0,likely_noise_or_multiunit,138
132,mua,55.9,17.6,mua,False,14640,0.8072507416002755,112,0.00765079581938657,122,123,0.0,540.0,4,10.504523277282715,,,,0,likely_noise_or_multiunit,139
134,mua,63.2,22.9,mua,False,52303,2.883991498491749,934,0.01785782570456197,122,123,0.0,540.0,4,13.248103141784668,,,,0,likely_noise_or_multiunit,140
136,mua,71.1,10.2,mua,False,89125,4.91435944980359,1593,0.01787397334051434,122,123,0.0,540.0,4,5.090849876403809,,,,0,likely_noise_or_multiunit,141
138,mua,96.1,12.0,mua,False,95215,5.25016252469059,3078,0.032327178776230384,121,122,0.0,520.0,4,7.759184837341309,,,,0,likely_noise_or_multiunit,142
140,mua,96.4,14.2,mua,False,250282,13.800568996530066,49855,0.19919610357957657,91,91,180.0,540.0,3,3.264852523803711,,,,0,likely_noise_or_multiunit,143
141,mua,94.5,13.7,mua,False,249981,13.783971833058638,51283,0.20514841187294983,91,91,180.0,540.0,3,3.072993755340576,,,,0,likely_noise_or_multiunit,144
142,mua,163.5,9.8,mua,False,16007,0.8826272281964215,226,0.014119705110583532,124,125,0.0,580.0,4,2.822380304336548,,,,0,likely_noise_or_multiunit,145
143,mua,151.0,9.5,mua,False,20502,1.1304818787082547,330,0.016096775767035755,30,30,60.0,600.0,1,2.9091384410858154,,,,0,likely_noise_or_multiunit,146
144,mua,61.3,9.4,mua,False,26933,1.4850877201858075,97,0.0036016634486855784,61,61,120.0,580.0,2,2.869014263153076,,,,0,likely_noise_or_multiunit,147
145,mua,117.4,10.0,mua,False,19649,1.0834473921928836,173,0.008804967426710098,124,125,0.0,580.0,4,5.926333427429199,,,,0,likely_noise_or_multiunit,148
146,mua,60.8,9.4,mua,False,24505,1.3512076108548328,134,0.005468494939601698,61,61,120.0,580.0,2,2.484942674636841,,,,0,likely_noise_or_multiunit,149
147,mua,103.7,9.7,mua,False,19315,1.0650306061481778,138,0.007145076110593352,92,92,180.0,560.0,3,2.8149828910827637,,,,0,likely_noise_or_multiunit,150
